dataset,dataset_spec,dataset_meta,arm,arm_index_bytes,arm_build_seconds,ext_stats,qid,family,sql,target_selectivity,true_rows,n_rows,params,achieved_selectivity,exec_ms_median,exec_ms_min,exec_ms_max,exec_ms_mean,exec_ms_stdev,runs,access_path,indexes_used,node_types,est_rows,actual_rows,total_cost,shared_hit,shared_read,planning_time_ms,scale,zipf_s,dep_strength,physical_corr,selectivity,variant
baseline,"{'name': 'baseline', 'n_rows': 10000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}","{'realised_ts_rank_corr': -6.806566253571457e-05, 'pg_stats': {'heap_bytes': 1170472960, 'total_bytes': 1170792448, 'reltuples': 10000266.0, 'columns': {'id': {'n_distinct': -1.0, 'correlation': 1.0}, 'k_uniform': {'n_distinct': 9991.0, 'correlation': 0.00078641047}, 'k_skew': {'n_distinct': 10019.0, 'correlation': 0.00088289974}, 'a': {'n_distinct': 100.0, 'correlation': 0.0045174626}, 'b': {'n_distinct': 100.0, 'correlation': 0.0005511159}, 'ts': {'n_distinct': -0.95750415, 'correlation': 0.0006675184}, 'payload': {'n_distinct': 256.0, 'correlation': 0.0135426195}}}}",none,{},0.33166030000029423,False,eq_v133,eq,SELECT * FROM t_baseline WHERE k_skew = 133,,994,10000000,{'k_skew': 133},9.94e-05,771.1759999999999,765.295,779.968,772.0986666666666,6.666336195142462,"[765.295, 778.732, 775.3, 767.052, 766.245, 779.968]",seqscan,,['Seq Scan'],1000.0,994.0,267862.5,2849,140031,0.034,10m,0.0,0.0,0.0,9.94e-05,
baseline,"{'name': 'baseline', 'n_rows': 10000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}","{'realised_ts_rank_corr': -6.806566253571457e-05, 'pg_stats': {'heap_bytes': 1170472960, 'total_bytes': 1170792448, 'reltuples': 10000266.0, 'columns': {'id': {'n_distinct': -1.0, 'correlation': 1.0}, 'k_uniform': {'n_distinct': 9991.0, 'correlation': 0.00078641047}, 'k_skew': {'n_distinct': 10019.0, 'correlation': 0.00088289974}, 'a': {'n_distinct': 100.0, 'correlation': 0.0045174626}, 'b': {'n_distinct': 100.0, 'correlation': 0.0005511159}, 'ts': {'n_distinct': -0.95750415, 'correlation': 0.0006675184}, 'payload': {'n_distinct': 256.0, 'correlation': 0.0135426195}}}}",none,{},0.33166030000029423,False,eq_v735,eq,SELECT * FROM t_baseline WHERE k_skew = 735,,1006,10000000,{'k_skew': 735},0.0001006,772.7415000000001,767.852,790.145,775.3428333333333,8.807547386569448,"[767.852, 775.71, 769.773, 767.993, 780.584, 790.145]",seqscan,,['Seq Scan'],1000.0,1006.0,267862.5,3073,139807,0.05,10m,0.0,0.0,0.0,0.0001006,
baseline,"{'name': 'baseline', 'n_rows': 10000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}","{'realised_ts_rank_corr': -6.806566253571457e-05, 'pg_stats': {'heap_bytes': 1170472960, 'total_bytes': 1170792448, 'reltuples': 10000266.0, 'columns': {'id': {'n_distinct': -1.0, 'correlation': 1.0}, 'k_uniform': {'n_distinct': 9991.0, 'correlation': 0.00078641047}, 'k_skew': {'n_distinct': 10019.0, 'correlation': 0.00088289974}, 'a': {'n_distinct': 100.0, 'correlation': 0.0045174626}, 'b': {'n_distinct': 100.0, 'correlation': 0.0005511159}, 'ts': {'n_distinct': -0.95750415, 'correlation': 0.0006675184}, 'payload': {'n_distinct': 256.0, 'correlation': 0.0135426195}}}}",none,{},0.33166030000029423,False,eq_v1500,eq,SELECT * FROM t_baseline WHERE k_skew = 1500,,867,10000000,{'k_skew': 1500},8.67e-05,773.3,764.265,788.09,774.8553333333333,8.402264448746363,"[764.265, 770.371, 776.148, 779.806, 788.09, 770.452]",seqscan,,['Seq Scan'],1000.0,867.0,267862.5,3297,139583,0.034,10m,0.0,0.0,0.0,8.67e-05,
baseline,"{'name': 'baseline', 'n_rows': 10000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}","{'realised_ts_rank_corr': -6.806566253571457e-05, 'pg_stats': {'heap_bytes': 1170472960, 'total_bytes': 1170792448, 'reltuples': 10000266.0, 'columns': {'id': {'n_distinct': -1.0, 'correlation': 1.0}, 'k_uniform': {'n_distinct': 9991.0, 'correlation': 0.00078641047}, 'k_skew': {'n_distinct': 10019.0, 'correlation': 0.00088289974}, 'a': {'n_distinct': 100.0, 'correlation': 0.0045174626}, 'b': {'n_distinct': 100.0, 'correlation': 0.0005511159}, 'ts': {'n_distinct': -0.95750415, 'correlation': 0.0006675184}, 'payload': {'n_distinct': 256.0, 'correlation': 0.0135426195}}}}",none,{},0.33166030000029423,False,eq_v2926,eq,SELECT * FROM t_baseline WHERE k_skew = 2926,,1018,10000000,{'k_skew': 2926},0.0001018,774.2865,770.995,783.947,775.5688333333334,4.977749668943455,"[771.51, 775.878, 772.695, 770.995, 778.388, 783.947]",seqscan,,['Seq Scan'],1000.0,1018.0,267862.5,3521,139359,0.035,10m,0.0,0.0,0.0,0.0001018,
baseline,"{'name': 'baseline', 'n_rows': 10000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}","{'realised_ts_rank_corr': -6.806566253571457e-05, 'pg_stats': {'heap_bytes': 1170472960, 'total_bytes': 1170792448, 'reltuples': 10000266.0, 'columns': {'id': {'n_distinct': -1.0, 'correlation': 1.0}, 'k_uniform': {'n_distinct': 9991.0, 'correlation': 0.00078641047}, 'k_skew': {'n_distinct': 10019.0, 'correlation': 0.00088289974}, 'a': {'n_distinct': 100.0, 'correlation': 0.0045174626}, 'b': {'n_distinct': 100.0, 'correlation': 0.0005511159}, 'ts': {'n_distinct': -0.95750415, 'correlation': 0.0006675184}, 'payload': {'n_distinct': 256.0, 'correlation': 0.0135426195}}}}",none,{},0.33166030000029423,False,eq_v4207,eq,SELECT * FROM t_baseline WHERE k_skew = 4207,,1034,10000000,{'k_skew': 4207},0.0001034,782.5505,770.5,797.521,783.995,9.2927172344799,"[797.521, 770.5, 783.903, 790.658, 781.198, 780.19]",seqscan,,['Seq Scan'],1000.0,1034.0,267862.5,3745,139135,0.036,10m,0.0,0.0,0.0,0.0001034,
baseline,"{'name': 'baseline', 'n_rows': 10000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}","{'realised_ts_rank_corr': -6.806566253571457e-05, 'pg_stats': {'heap_bytes': 1170472960, 'total_bytes': 1170792448, 'reltuples': 10000266.0, 'columns': {'id': {'n_distinct': -1.0, 'correlation': 1.0}, 'k_uniform': {'n_distinct': 9991.0, 'correlation': 0.00078641047}, 'k_skew': {'n_distinct': 10019.0, 'correlation': 0.00088289974}, 'a': {'n_distinct': 100.0, 'correlation': 0.0045174626}, 'b': {'n_distinct': 100.0, 'correlation': 0.0005511159}, 'ts': {'n_distinct': -0.95750415, 'correlation': 0.0006675184}, 'payload': {'n_distinct': 256.0, 'correlation': 0.0135426195}}}}",none,{},0.33166030000029423,False,eq_v4963,eq,SELECT * FROM t_baseline WHERE k_skew = 4963,,982,10000000,{'k_skew': 4963},9.82e-05,775.7825,770.477,781.835,775.8545,4.356898610250198,"[777.019, 779.303, 781.835, 774.546, 770.477, 771.947]",seqscan,,['Seq Scan'],1000.0,982.0,267862.5,3969,138911,0.035,10m,0.0,0.0,0.0,9.82e-05,
baseline,"{'name': 'baseline', 'n_rows': 10000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}","{'realised_ts_rank_corr': -6.806566253571457e-05, 'pg_stats': {'heap_bytes': 1170472960, 'total_bytes': 1170792448, 'reltuples': 10000266.0, 'columns': {'id': {'n_distinct': -1.0, 'correlation': 1.0}, 'k_uniform': {'n_distinct': 9991.0, 'correlation': 0.00078641047}, 'k_skew': {'n_distinct': 10019.0, 'correlation': 0.00088289974}, 'a': {'n_distinct': 100.0, 'correlation': 0.0045174626}, 'b': {'n_distinct': 100.0, 'correlation': 0.0005511159}, 'ts': {'n_distinct': -0.95750415, 'correlation': 0.0006675184}, 'payload': {'n_distinct': 256.0, 'correlation': 0.0135426195}}}}",none,{},0.33166030000029423,False,eq_v7235,eq,SELECT * FROM t_baseline WHERE k_skew = 7235,,1129,10000000,{'k_skew': 7235},0.0001129,776.934,771.937,783.227,777.2908333333334,3.7109325737160126,"[775.831, 778.882, 783.227, 776.8, 771.937, 777.068]",seqscan,,['Seq Scan'],1000.0,1129.0,267862.5,4193,138687,0.036,10m,0.0,0.0,0.0,0.0001129,
baseline,"{'name': 'baseline', 'n_rows': 10000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}","{'realised_ts_rank_corr': -6.806566253571457e-05, 'pg_stats': {'heap_bytes': 1170472960, 'total_bytes': 1170792448, 'reltuples': 10000266.0, 'columns': {'id': {'n_distinct': -1.0, 'correlation': 1.0}, 'k_uniform': {'n_distinct': 9991.0, 'correlation': 0.00078641047}, 'k_skew': {'n_distinct': 10019.0, 'correlation': 0.00088289974}, 'a': {'n_distinct': 100.0, 'correlation': 0.0045174626}, 'b': {'n_distinct': 100.0, 'correlation': 0.0005511159}, 'ts': {'n_distinct': -0.95750415, 'correlation': 0.0006675184}, 'payload': {'n_distinct': 256.0, 'correlation': 0.0135426195}}}}",none,{},0.33166030000029423,False,eq_v8682,eq,SELECT * FROM t_baseline WHERE k_skew = 8682,,966,10000000,{'k_skew': 8682},9.66e-05,786.6469999999999,777.105,804.3,787.3786666666666,9.353853765516446,"[804.3, 787.131, 780.874, 788.699, 786.163, 777.105]",seqscan,,['Seq Scan'],1000.0,966.0,267862.5,4417,138463,0.049,10m,0.0,0.0,0.0,9.66e-05,
baseline,"{'name': 'baseline', 'n_rows': 10000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}","{'realised_ts_rank_corr': -6.806566253571457e-05, 'pg_stats': {'heap_bytes': 1170472960, 'total_bytes': 1170792448, 'reltuples': 10000266.0, 'columns': {'id': {'n_distinct': -1.0, 'correlation': 1.0}, 'k_uniform': {'n_distinct': 9991.0, 'correlation': 0.00078641047}, 'k_skew': {'n_distinct': 10019.0, 'correlation': 0.00088289974}, 'a': {'n_distinct': 100.0, 'correlation': 0.0045174626}, 'b': {'n_distinct': 100.0, 'correlation': 0.0005511159}, 'ts': {'n_distinct': -0.95750415, 'correlation': 0.0006675184}, 'payload': {'n_distinct': 256.0, 'correlation': 0.0135426195}}}}",none,{},0.33166030000029423,False,range_1e-05,range,SELECT * FROM t_baseline WHERE k_skew BETWEEN 4999 AND 4999,1e-05,982,10000000,"{'lo': 4999, 'hi': 4999}",9.82e-05,839.5955,831.63,850.096,839.9573333333333,7.725044560820795,"[846.167, 835.462, 832.66, 831.63, 843.729, 850.096]",seqscan,,['Seq Scan'],1000.0,982.0,292859.0,4897,137983,0.84,10m,0.0,0.0,0.0,9.82e-05,
baseline,"{'name': 'baseline', 'n_rows': 10000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}","{'realised_ts_rank_corr': -6.806566253571457e-05, 'pg_stats': {'heap_bytes': 1170472960, 'total_bytes': 1170792448, 'reltuples': 10000266.0, 'columns': {'id': {'n_distinct': -1.0, 'correlation': 1.0}, 'k_uniform': {'n_distinct': 9991.0, 'correlation': 0.00078641047}, 'k_skew': {'n_distinct': 10019.0, 'correlation': 0.00088289974}, 'a': {'n_distinct': 100.0, 'correlation': 0.0045174626}, 'b': {'n_distinct': 100.0, 'correlation': 0.0005511159}, 'ts': {'n_distinct': -0.95750415, 'correlation': 0.0006675184}, 'payload': {'n_distinct': 256.0, 'correlation': 0.0135426195}}}}",none,{},0.33166030000029423,False,tsrange_1e-05,ts_range,SELECT * FROM t_baseline WHERE ts BETWEEN 1656667193 AND 1656668422,1e-05,100,10000000,"{'lo': 1656667193, 'hi': 1656668422}",1e-05,896.69,890.061,913.123,899.7326666666667,10.184225776497055,"[891.911, 901.469, 891.462, 910.37, 890.061, 913.123]",seqscan,,['Seq Scan'],76.0,100.0,292859.0,5130,137750,0.038,10m,0.0,0.0,0.0,1e-05,
