dataset,dataset_spec,dataset_meta,arm,arm_index_bytes,arm_build_seconds,ext_stats,qid,family,sql,target_selectivity,true_rows,n_rows,params,achieved_selectivity,exec_ms_median,exec_ms_min,exec_ms_max,exec_ms_mean,exec_ms_stdev,runs,access_path,indexes_used,node_types,est_rows,actual_rows,total_cost,shared_hit,shared_read,planning_time_ms,scale,zipf_s,dep_strength,physical_corr,selectivity,variant,best_arm,best_ms,best_access_path,best_indexes,regret,q_error,direction,ms_lost,reliable,misselected
baseline,"{'name': 'baseline', 'n_rows': 10000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}","{'realised_ts_rank_corr': -6.806566253571457e-05, 'pg_stats': {'heap_bytes': 1170472960, 'total_bytes': 1170792448, 'reltuples': 10000266.0, 'columns': {'id': {'n_distinct': -1.0, 'correlation': 1.0}, 'k_uniform': {'n_distinct': 9991.0, 'correlation': 0.00078641047}, 'k_skew': {'n_distinct': 10019.0, 'correlation': 0.00088289974}, 'a': {'n_distinct': 100.0, 'correlation': 0.0045174626}, 'b': {'n_distinct': 100.0, 'correlation': 0.0005511159}, 'ts': {'n_distinct': -0.95750415, 'correlation': 0.0006675184}, 'payload': {'n_distinct': 256.0, 'correlation': 0.0135426195}}}}",all,"{'ix_baseline_btree_skew': 72482816, 'ix_baseline_hash_skew': 435200000, 'ix_baseline_brin_skew': 40960, 'ix_baseline_a': 69369856, 'ix_baseline_b': 69369856, 'ix_baseline_ab': 72482816, 'ix_baseline_btree_ts': 223289344, 'ix_baseline_brin_ts': 49152}",31.563445499999943,False,eq_v133,eq,SELECT * FROM t_baseline WHERE k_skew = 133,,994,10000000,{'k_skew': 133},9.94e-05,0.4635,0.341,0.549,0.45333333333333337,0.08175736460201409,"[0.549, 0.442, 0.341, 0.379, 0.485, 0.524]",bitmapscan,ix_baseline_btree_skew,"['Bitmap Heap Scan', 'Bitmap Index Scan']",996.0,994.0,3748.26,993,0,0.055,10m,0.0,0.0,0.0,9.94e-05,,hash_skew,0.3955,bitmapscan,ix_baseline,1.1719342604298357,1.0020120724346075,accurate,0.068,False,False
baseline,"{'name': 'baseline', 'n_rows': 10000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}","{'realised_ts_rank_corr': -6.806566253571457e-05, 'pg_stats': {'heap_bytes': 1170472960, 'total_bytes': 1170792448, 'reltuples': 10000266.0, 'columns': {'id': {'n_distinct': -1.0, 'correlation': 1.0}, 'k_uniform': {'n_distinct': 9991.0, 'correlation': 0.00078641047}, 'k_skew': {'n_distinct': 10019.0, 'correlation': 0.00088289974}, 'a': {'n_distinct': 100.0, 'correlation': 0.0045174626}, 'b': {'n_distinct': 100.0, 'correlation': 0.0005511159}, 'ts': {'n_distinct': -0.95750415, 'correlation': 0.0006675184}, 'payload': {'n_distinct': 256.0, 'correlation': 0.0135426195}}}}",all,"{'ix_baseline_btree_skew': 72482816, 'ix_baseline_hash_skew': 435200000, 'ix_baseline_brin_skew': 40960, 'ix_baseline_a': 69369856, 'ix_baseline_b': 69369856, 'ix_baseline_ab': 72482816, 'ix_baseline_btree_ts': 223289344, 'ix_baseline_brin_ts': 49152}",31.563445499999943,False,eq_v735,eq,SELECT * FROM t_baseline WHERE k_skew = 735,,1006,10000000,{'k_skew': 735},0.0001006,0.3335,0.319,0.5,0.37033333333333335,0.07175142275012159,"[0.5, 0.41, 0.338, 0.329, 0.326, 0.319]",bitmapscan,ix_baseline_btree_skew,"['Bitmap Heap Scan', 'Bitmap Index Scan']",996.0,1006.0,3748.26,1006,0,0.051,10m,0.0,0.0,0.0,0.0001006,,btree_skew,0.348,bitmapscan,ix_baseline,0.9583333333333335,1.0100401606425702,accurate,-0.014499999999999957,False,False
baseline,"{'name': 'baseline', 'n_rows': 10000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}","{'realised_ts_rank_corr': -6.806566253571457e-05, 'pg_stats': {'heap_bytes': 1170472960, 'total_bytes': 1170792448, 'reltuples': 10000266.0, 'columns': {'id': {'n_distinct': -1.0, 'correlation': 1.0}, 'k_uniform': {'n_distinct': 9991.0, 'correlation': 0.00078641047}, 'k_skew': {'n_distinct': 10019.0, 'correlation': 0.00088289974}, 'a': {'n_distinct': 100.0, 'correlation': 0.0045174626}, 'b': {'n_distinct': 100.0, 'correlation': 0.0005511159}, 'ts': {'n_distinct': -0.95750415, 'correlation': 0.0006675184}, 'payload': {'n_distinct': 256.0, 'correlation': 0.0135426195}}}}",all,"{'ix_baseline_btree_skew': 72482816, 'ix_baseline_hash_skew': 435200000, 'ix_baseline_brin_skew': 40960, 'ix_baseline_a': 69369856, 'ix_baseline_b': 69369856, 'ix_baseline_ab': 72482816, 'ix_baseline_btree_ts': 223289344, 'ix_baseline_brin_ts': 49152}",31.563445499999943,False,eq_v1500,eq,SELECT * FROM t_baseline WHERE k_skew = 1500,,867,10000000,{'k_skew': 1500},8.67e-05,0.33,0.267,0.484,0.3446666666666667,0.07939437427593132,"[0.484, 0.379, 0.333, 0.327, 0.278, 0.267]",bitmapscan,ix_baseline_btree_skew,"['Bitmap Heap Scan', 'Bitmap Index Scan']",996.0,867.0,3748.26,870,0,0.072,10m,0.0,0.0,0.0,8.67e-05,,btree_skew,0.30600000000000005,bitmapscan,ix_baseline,1.0784313725490196,1.1487889273356402,over,0.023999999999999966,False,False
baseline,"{'name': 'baseline', 'n_rows': 10000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}","{'realised_ts_rank_corr': -6.806566253571457e-05, 'pg_stats': {'heap_bytes': 1170472960, 'total_bytes': 1170792448, 'reltuples': 10000266.0, 'columns': {'id': {'n_distinct': -1.0, 'correlation': 1.0}, 'k_uniform': {'n_distinct': 9991.0, 'correlation': 0.00078641047}, 'k_skew': {'n_distinct': 10019.0, 'correlation': 0.00088289974}, 'a': {'n_distinct': 100.0, 'correlation': 0.0045174626}, 'b': {'n_distinct': 100.0, 'correlation': 0.0005511159}, 'ts': {'n_distinct': -0.95750415, 'correlation': 0.0006675184}, 'payload': {'n_distinct': 256.0, 'correlation': 0.0135426195}}}}",all,"{'ix_baseline_btree_skew': 72482816, 'ix_baseline_hash_skew': 435200000, 'ix_baseline_brin_skew': 40960, 'ix_baseline_a': 69369856, 'ix_baseline_b': 69369856, 'ix_baseline_ab': 72482816, 'ix_baseline_btree_ts': 223289344, 'ix_baseline_brin_ts': 49152}",31.563445499999943,False,eq_v2926,eq,SELECT * FROM t_baseline WHERE k_skew = 2926,,1018,10000000,{'k_skew': 2926},0.0001018,0.38549999999999995,0.324,5.795,1.2896666666666665,2.2083603570673573,"[5.795, 0.52, 0.413, 0.358, 0.328, 0.324]",bitmapscan,ix_baseline_btree_skew,"['Bitmap Heap Scan', 'Bitmap Index Scan']",996.0,1018.0,3748.26,197,818,0.063,10m,0.0,0.0,0.0,0.0001018,,btree_skew,0.3545,bitmapscan,ix_baseline,1.087447108603667,1.0220883534136547,accurate,0.030999999999999972,False,False
baseline,"{'name': 'baseline', 'n_rows': 10000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}","{'realised_ts_rank_corr': -6.806566253571457e-05, 'pg_stats': {'heap_bytes': 1170472960, 'total_bytes': 1170792448, 'reltuples': 10000266.0, 'columns': {'id': {'n_distinct': -1.0, 'correlation': 1.0}, 'k_uniform': {'n_distinct': 9991.0, 'correlation': 0.00078641047}, 'k_skew': {'n_distinct': 10019.0, 'correlation': 0.00088289974}, 'a': {'n_distinct': 100.0, 'correlation': 0.0045174626}, 'b': {'n_distinct': 100.0, 'correlation': 0.0005511159}, 'ts': {'n_distinct': -0.95750415, 'correlation': 0.0006675184}, 'payload': {'n_distinct': 256.0, 'correlation': 0.0135426195}}}}",all,"{'ix_baseline_btree_skew': 72482816, 'ix_baseline_hash_skew': 435200000, 'ix_baseline_brin_skew': 40960, 'ix_baseline_a': 69369856, 'ix_baseline_b': 69369856, 'ix_baseline_ab': 72482816, 'ix_baseline_btree_ts': 223289344, 'ix_baseline_brin_ts': 49152}",31.563445499999943,False,eq_v4207,eq,SELECT * FROM t_baseline WHERE k_skew = 4207,,1034,10000000,{'k_skew': 4207},0.0001034,0.36350000000000005,0.338,0.555,0.3995,0.08459018855635682,"[0.555, 0.434, 0.338, 0.384, 0.343, 0.343]",bitmapscan,ix_baseline_btree_skew,"['Bitmap Heap Scan', 'Bitmap Index Scan']",996.0,1034.0,3748.26,1032,0,0.068,10m,0.0,0.0,0.0,0.0001034,,btree_skew,0.35,bitmapscan,ix_baseline,1.0385714285714287,1.038152610441767,accurate,0.013500000000000068,False,False
baseline,"{'name': 'baseline', 'n_rows': 10000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}","{'realised_ts_rank_corr': -6.806566253571457e-05, 'pg_stats': {'heap_bytes': 1170472960, 'total_bytes': 1170792448, 'reltuples': 10000266.0, 'columns': {'id': {'n_distinct': -1.0, 'correlation': 1.0}, 'k_uniform': {'n_distinct': 9991.0, 'correlation': 0.00078641047}, 'k_skew': {'n_distinct': 10019.0, 'correlation': 0.00088289974}, 'a': {'n_distinct': 100.0, 'correlation': 0.0045174626}, 'b': {'n_distinct': 100.0, 'correlation': 0.0005511159}, 'ts': {'n_distinct': -0.95750415, 'correlation': 0.0006675184}, 'payload': {'n_distinct': 256.0, 'correlation': 0.0135426195}}}}",all,"{'ix_baseline_btree_skew': 72482816, 'ix_baseline_hash_skew': 435200000, 'ix_baseline_brin_skew': 40960, 'ix_baseline_a': 69369856, 'ix_baseline_b': 69369856, 'ix_baseline_ab': 72482816, 'ix_baseline_btree_ts': 223289344, 'ix_baseline_brin_ts': 49152}",31.563445499999943,False,eq_v4963,eq,SELECT * FROM t_baseline WHERE k_skew = 4963,,982,10000000,{'k_skew': 4963},9.82e-05,0.38149999999999995,0.313,0.631,0.437,0.14225188926689164,"[0.631, 0.597, 0.415, 0.348, 0.318, 0.313]",bitmapscan,ix_baseline_btree_skew,"['Bitmap Heap Scan', 'Bitmap Index Scan']",996.0,982.0,3748.26,985,0,0.109,10m,0.0,0.0,0.0,9.82e-05,,hash_skew,0.405,bitmapscan,ix_baseline,0.9419753086419751,1.0142566191446027,accurate,-0.023500000000000076,False,False
baseline,"{'name': 'baseline', 'n_rows': 10000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}","{'realised_ts_rank_corr': -6.806566253571457e-05, 'pg_stats': {'heap_bytes': 1170472960, 'total_bytes': 1170792448, 'reltuples': 10000266.0, 'columns': {'id': {'n_distinct': -1.0, 'correlation': 1.0}, 'k_uniform': {'n_distinct': 9991.0, 'correlation': 0.00078641047}, 'k_skew': {'n_distinct': 10019.0, 'correlation': 0.00088289974}, 'a': {'n_distinct': 100.0, 'correlation': 0.0045174626}, 'b': {'n_distinct': 100.0, 'correlation': 0.0005511159}, 'ts': {'n_distinct': -0.95750415, 'correlation': 0.0006675184}, 'payload': {'n_distinct': 256.0, 'correlation': 0.0135426195}}}}",all,"{'ix_baseline_btree_skew': 72482816, 'ix_baseline_hash_skew': 435200000, 'ix_baseline_brin_skew': 40960, 'ix_baseline_a': 69369856, 'ix_baseline_b': 69369856, 'ix_baseline_ab': 72482816, 'ix_baseline_btree_ts': 223289344, 'ix_baseline_brin_ts': 49152}",31.563445499999943,False,eq_v7235,eq,SELECT * FROM t_baseline WHERE k_skew = 7235,,1129,10000000,{'k_skew': 7235},0.0001129,0.4,0.36,0.667,0.45616666666666666,0.12619099281116172,"[0.667, 0.548, 0.434, 0.362, 0.36, 0.366]",bitmapscan,ix_baseline_btree_skew,"['Bitmap Heap Scan', 'Bitmap Index Scan']",996.0,1129.0,3748.26,1129,0,0.094,10m,0.0,0.0,0.0,0.0001129,,btree_skew,0.371,bitmapscan,ix_baseline,1.078167115902965,1.1335341365461848,under,0.029000000000000026,False,False
baseline,"{'name': 'baseline', 'n_rows': 10000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}","{'realised_ts_rank_corr': -6.806566253571457e-05, 'pg_stats': {'heap_bytes': 1170472960, 'total_bytes': 1170792448, 'reltuples': 10000266.0, 'columns': {'id': {'n_distinct': -1.0, 'correlation': 1.0}, 'k_uniform': {'n_distinct': 9991.0, 'correlation': 0.00078641047}, 'k_skew': {'n_distinct': 10019.0, 'correlation': 0.00088289974}, 'a': {'n_distinct': 100.0, 'correlation': 0.0045174626}, 'b': {'n_distinct': 100.0, 'correlation': 0.0005511159}, 'ts': {'n_distinct': -0.95750415, 'correlation': 0.0006675184}, 'payload': {'n_distinct': 256.0, 'correlation': 0.0135426195}}}}",all,"{'ix_baseline_btree_skew': 72482816, 'ix_baseline_hash_skew': 435200000, 'ix_baseline_brin_skew': 40960, 'ix_baseline_a': 69369856, 'ix_baseline_b': 69369856, 'ix_baseline_ab': 72482816, 'ix_baseline_btree_ts': 223289344, 'ix_baseline_brin_ts': 49152}",31.563445499999943,False,eq_v8682,eq,SELECT * FROM t_baseline WHERE k_skew = 8682,,966,10000000,{'k_skew': 8682},9.66e-05,0.4775,0.331,0.745,0.48783333333333334,0.13920979371677364,"[0.482, 0.485, 0.745, 0.473, 0.411, 0.331]",bitmapscan,ix_baseline_btree_skew,"['Bitmap Heap Scan', 'Bitmap Index Scan']",996.0,966.0,3748.26,967,0,0.054,10m,0.0,0.0,0.0,9.66e-05,,btree_skew,0.329,bitmapscan,ix_baseline,1.451367781155015,1.031055900621118,accurate,0.14849999999999997,False,True
baseline,"{'name': 'baseline', 'n_rows': 10000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}","{'realised_ts_rank_corr': -6.806566253571457e-05, 'pg_stats': {'heap_bytes': 1170472960, 'total_bytes': 1170792448, 'reltuples': 10000266.0, 'columns': {'id': {'n_distinct': -1.0, 'correlation': 1.0}, 'k_uniform': {'n_distinct': 9991.0, 'correlation': 0.00078641047}, 'k_skew': {'n_distinct': 10019.0, 'correlation': 0.00088289974}, 'a': {'n_distinct': 100.0, 'correlation': 0.0045174626}, 'b': {'n_distinct': 100.0, 'correlation': 0.0005511159}, 'ts': {'n_distinct': -0.95750415, 'correlation': 0.0006675184}, 'payload': {'n_distinct': 256.0, 'correlation': 0.0135426195}}}}",all,"{'ix_baseline_btree_skew': 72482816, 'ix_baseline_hash_skew': 435200000, 'ix_baseline_brin_skew': 40960, 'ix_baseline_a': 69369856, 'ix_baseline_b': 69369856, 'ix_baseline_ab': 72482816, 'ix_baseline_btree_ts': 223289344, 'ix_baseline_brin_ts': 49152}",31.563445499999943,False,range_1e-05,range,SELECT * FROM t_baseline WHERE k_skew BETWEEN 4999 AND 4999,1e-05,982,10000000,"{'lo': 4999, 'hi': 4999}",9.82e-05,0.39049999999999996,0.33,0.95,0.47866666666666663,0.2350129074469457,"[0.456, 0.407, 0.355, 0.33, 0.374, 0.95]",bitmapscan,ix_baseline_btree_skew,"['Bitmap Heap Scan', 'Bitmap Index Scan']",996.0,982.0,3753.24,982,0,0.054,10m,0.0,0.0,0.0,9.82e-05,,btree_skew,0.491,bitmapscan,ix_baseline,0.795315682281059,1.0142566191446027,accurate,-0.10050000000000003,False,False
baseline,"{'name': 'baseline', 'n_rows': 10000000, 'zipf_s': 0.0, 'dep_strength': 0.0, 'physical_corr': 0.0, 'domain_skew': 10000, 'domain_a': 100, 'domain_b': 100, 'seed': 42}","{'realised_ts_rank_corr': -6.806566253571457e-05, 'pg_stats': {'heap_bytes': 1170472960, 'total_bytes': 1170792448, 'reltuples': 10000266.0, 'columns': {'id': {'n_distinct': -1.0, 'correlation': 1.0}, 'k_uniform': {'n_distinct': 9991.0, 'correlation': 0.00078641047}, 'k_skew': {'n_distinct': 10019.0, 'correlation': 0.00088289974}, 'a': {'n_distinct': 100.0, 'correlation': 0.0045174626}, 'b': {'n_distinct': 100.0, 'correlation': 0.0005511159}, 'ts': {'n_distinct': -0.95750415, 'correlation': 0.0006675184}, 'payload': {'n_distinct': 256.0, 'correlation': 0.0135426195}}}}",all,"{'ix_baseline_btree_skew': 72482816, 'ix_baseline_hash_skew': 435200000, 'ix_baseline_brin_skew': 40960, 'ix_baseline_a': 69369856, 'ix_baseline_b': 69369856, 'ix_baseline_ab': 72482816, 'ix_baseline_btree_ts': 223289344, 'ix_baseline_brin_ts': 49152}",31.563445499999943,False,tsrange_1e-05,ts_range,SELECT * FROM t_baseline WHERE ts BETWEEN 1656667193 AND 1656668422,1e-05,100,10000000,"{'lo': 1656667193, 'hi': 1656668422}",1e-05,0.041999999999999996,0.035,0.059,0.045000000000000005,0.00985900603509299,"[0.059, 0.055, 0.044, 0.04, 0.037, 0.035]",bitmapscan,ix_baseline_btree_ts,"['Bitmap Heap Scan', 'Bitmap Index Scan']",79.0,100.0,316.86,103,0,0.047,10m,0.0,0.0,0.0,1e-05,,btree_ts,0.0475,bitmapscan,ix_baseline,0.8842105263157893,1.2658227848101267,under,-0.005500000000000005,False,False
