scale,dataset,family,arm,n_queries,misselection_rate,regret_median,regret_p90,regret_max,ms_lost_total,ms_lost_max,q_error_median,q_error_max
10m,baseline,range,all,6,0.16666666666666666,1.0527537071902295,1.3428496549172906,1.6163543659007882,386.1429999999998,250.712,1.0136768319129765,1.026242216291778
10m,baseline,range,all_no_brin,6,0.3333333333333333,1.0244525086487668,1.5215096659792255,1.5381180190939165,697.1785,344.928,1.0327955864613798,1.0619596826841282
10m,baseline,ts_range,all,6,0.16666666666666666,1.0387680767142116,1.3732247496437902,1.6706838370391819,394.78800000000024,284.9075,1.006853,1.019056353816366
10m,baseline,ts_range,all_no_brin,6,0.3333333333333333,1.0095350384777562,1.4258733752763901,1.4336806453531228,621.3800000000001,313.58449999999993,1.00812825,1.0585371017254155
10m,dep025,conj,all,10,0.5,1.6936190539446776,2.3815234796896476,2.3872605395458875,645.1895,127.713,12.085279890373416,31.725490196078432
10m,dep025,conj,all_no_brin,5,0.0,1.0278547907071485,1.0419147277475669,1.0461752072832766,13.009499999999989,4.090499999999992,24.561669829222012,25.783838383838383
10m,dep025,range,all,6,0.16666666666666666,1.053878105984768,1.3524120506881494,1.639679506228715,355.6539999999999,257.23400000000004,1.0085032028073866,1.01786
10m,dep025,range,all_no_brin,6,0.3333333333333333,1.0446924396739472,1.477187032521245,1.5179497566546374,624.825,314.5325,1.0136534804216837,1.0314595152140278
10m,dep025,ts_range,all,6,0.0,1.02757469679863,1.0416646568963261,1.0461733621148832,-129.13849999999965,32.94100000000003,1.0249326385682536,1.1452130096197892
10m,dep025,ts_range,all_no_brin,6,0.3333333333333333,1.0225965026839778,1.4137492549637072,1.4355331367201154,359.953,310.27250000000004,1.0290736843964785,1.1133
10m,dep05,conj,all,10,0.5,1.3740860673171842,1.7230870269158751,1.7283046996380749,622.269,121.644,21.610912466111458,55.68096809680968
10m,dep05,conj,all_no_brin,5,0.0,1.01780358507629,1.0344854782308268,1.0360033762653404,18.59299999999996,5.929000000000002,51.176946410515676,55.08034744842563
10m,dep05,range,all,6,0.16666666666666666,1.056499727436549,1.344013781765336,1.622447121583449,400.8404999999999,252.96500000000003,1.0106308341264274,1.05743
10m,dep05,range,all_no_brin,6,0.3333333333333333,1.0585813841942184,1.5288748845238829,1.5457284645205538,713.4475,343.76200000000006,1.0036853203265323,1.0378611756891398
10m,dep05,ts_range,all,6,0.16666666666666666,1.057811252508237,1.3860177816027894,1.685269131051576,463.8825,294.1785,1.0077817194269407,1.0787
10m,dep05,ts_range,all_no_brin,6,0.3333333333333333,1.0812856953996208,1.446031984728808,1.4782719689572206,695.4200000000001,337.2255,1.006152508298964,1.0113554995489356
10m,dep075,conj,all,10,0.5,1.2028702783369487,1.5625565944056177,1.5758115249256024,593.6755,132.445,33.80490506679931,82.49779249448123
10m,dep075,conj,all_no_brin,5,0.0,0.9856773210178527,0.9947771692231104,0.995264384058222,-14.424999999999983,-1.0254999999999939,73.85671936758894,94.69056603773585
10m,dep075,range,all,6,0.0,1.0447294059591115,1.0813270250095357,1.1112198119788725,167.0865000000002,66.96100000000001,1.017599895265655,1.1106175033318526
10m,dep075,range,all_no_brin,6,0.3333333333333333,1.0004761496320351,1.4978388758154688,1.5232580592414744,596.9884999999999,318.4075,1.0199997654410433,1.0437
10m,dep075,ts_range,all,6,0.0,1.0479698108739093,1.1127739589346803,1.131314464606782,215.70850000000007,88.04299999999989,1.02677,1.0811979673478214
10m,dep075,ts_range,all_no_brin,6,0.3333333333333333,1.0022281621475153,1.421763782283612,1.4394823697089554,569.3175000000001,300.3349999999999,1.0224155000000001,1.0586491636671607
10m,dep10,conj,all,10,0.4,1.103265488224538,1.2649868876114398,1.266832537016131,456.3789999999998,108.37149999999997,41.924049987265136,112.15056179775281
10m,dep10,conj,all_no_brin,5,0.2,1.1293640993695533,1.1961650437277829,1.2397895518692745,249.411,96.851,101.12867274569402,109.39479392624729
10m,dep10,range,all,6,0.8333333333333334,1.2493603081563047,1.4558579305460753,1.640771919299939,932.903,294.8025000000001,1.0071996092356703,1.0277
10m,dep10,range,all_no_brin,6,0.3333333333333333,1.0865919941214754,1.6665349253307498,1.6676206382021899,979.7949999999996,425.61199999999985,1.0088389754289833,1.0585371017254155
10m,dep10,ts_range,all,6,0.5,1.2005522090186211,1.312410004680066,1.3828009815409785,844.4665000000002,223.9380000000001,1.0034362,1.015133
10m,dep10,ts_range,all_no_brin,6,0.3333333333333333,1.0581267432993116,1.5414182820096456,1.5635609305450575,774.6845000000001,419.395,1.0093101180886848,1.0495382031905962
10m,phys05,eq,all_no_brin,2,1.0,3.6526156264032332,3.6923551863493485,3.7022900763358773,1.77,0.8850000000000001,1.0181724862791288,1.0220883534136547
10m,phys05,range,all,6,0.16666666666666666,0.9371282007993684,1.445701319280686,1.8141173591550983,47.113499999999874,339.32899999999995,1.0101512847031495,1.0658
10m,phys05,range,all_no_brin,6,0.6666666666666666,1.2261841220255167,1.2826524745587422,1.3073379101140628,783.0560000000002,269.7030000000002,1.0072530207088553,1.03663
10m,phys05,ts_range,all,6,0.8333333333333334,1.2971941542976555,1.441057537315651,1.5257291509292656,1234.1459999999997,405.39999999999986,1.011067731337595,1.0308683210041483
10m,phys05,ts_range,all_no_brin,6,0.3333333333333333,1.09952662886424,1.3736032792887056,1.4759580138302721,562.251,256.1734999999999,1.0352825386712412,1.0559037691540945
10m,phys095,range,all,6,0.3333333333333333,1.0756548405112791,1.335408970347295,1.4682687158407584,282.3569999999999,210.29549999999995,1.0103649715876943,1.0139
10m,phys095,range,all_no_brin,6,0.3333333333333333,1.1833218380969783,1.240804120070286,1.2511448415136632,632.1524999999999,190.85400000000004,1.0063389770865503,1.03444
10m,phys095,ts_range,all,5,0.2,1.0169324172668917,1.5934882826961114,1.9215223539995518,979.2439999999999,963.9110000000001,1.014002,1.13021
10m,phys095,ts_range,all_no_brin,5,0.2,1.1139690667862976,1.4882293699850215,1.7299857504575773,904.4665,763.5640000000001,1.013828622409668,1.04552
10m,phys10,range,all,6,0.5,1.1381959576423524,1.451259676566501,1.646677558081426,651.4670000000001,278.8645,1.0081470140206674,1.0395010395010396
10m,phys10,range,all_no_brin,6,0.6666666666666666,1.2346972124935807,1.5137267546287552,1.527851014621903,950.736,329.3405,1.0201210284384983,1.03803
10m,phys10,ts_range,all,5,0.2,1.0328606201714468,1.3472045446088048,1.5501707276404788,66.10550000000003,37.94500000000001,1.0053695,1.038453949759598
10m,phys10,ts_range,all_no_brin,5,0.2,1.0425131071231186,1.4896871325046983,1.7859923589412712,83.7734999999999,54.209500000000006,1.014077,1.17267
10m,skew05,eq,all,1,0.0,0.9283488818992119,0.9283488818992119,0.9283488818992119,-12.062000000000012,-12.062000000000012,1.041533991402643,1.041533991402643
10m,skew05,eq,all_no_brin,1,0.0,1.0003772049410875,1.0003772049410875,1.0003772049410875,0.06349999999997635,0.06349999999997635,1.0216327017990765,1.0216327017990765
10m,skew05,range,all,6,0.16666666666666666,1.011943438611199,1.4080275837358704,1.774392690791831,360.46300000000014,324.19950000000006,1.0241229389149054,1.07735
10m,skew05,range,all_no_brin,6,0.3333333333333333,1.0092167118290356,1.4702361984349936,1.4945795436955152,626.4340000000002,327.4945,1.004804099376262,1.0668
10m,skew05,ts_range,all,6,0.16666666666666666,1.038109897343769,1.3958363462364725,1.7144860769977885,431.2995,312.2765,1.0141891419383147,1.06857
10m,skew05,ts_range,all_no_brin,6,0.3333333333333333,0.9995658262146754,1.4442170479929692,1.4661869797942997,634.136,332.69899999999996,1.0210724999999998,1.04127
10m,skew10,eq,all,1,0.0,1.1799886104201016,1.1799886104201016,1.1799886104201016,105.56349999999998,105.56349999999998,1.0020998549726332,1.0020998549726332
10m,skew10,eq,all_no_brin,1,1.0,1.5644926436613067,1.5644926436613067,1.5644926436613067,331.07550000000003,331.07550000000003,1.0045671173453077,1.0045671173453077
10m,skew10,range,all,6,0.16666666666666666,1.0397373859077534,1.8546632233790037,2.6312118713100756,764.4419999999999,646.8064999999999,1.0053318990727003,1.07469102632993
10m,skew10,range,all_no_brin,6,0.3333333333333333,1.039063701028843,1.5523363488179638,1.5608044704212263,706.2289999999999,338.5585,1.01650675,1.0416666666666667
10m,skew10,ts_range,all,6,0.0,1.0391746308882088,1.0572095039747378,1.0733857921981882,128.5019999999999,31.755499999999984,1.0282955519819124,1.1098779134295227
10m,skew10,ts_range,all_no_brin,6,0.3333333333333333,1.0353902273349513,1.4697824921454257,1.5018049238843174,652.1394999999998,347.664,1.0189759999999999,1.04468
10m,skew15,eq,all,1,0.0,0.8368347730573152,0.8368347730573152,0.8368347730573152,-129.82999999999993,-129.82999999999993,1.0029322059937098,1.0029322059937098
10m,skew15,eq,all_no_brin,1,0.0,0.896923010218092,0.896923010218092,0.896923010218092,-82.01800000000003,-82.01800000000003,1.0057877831945738,1.0057877831945738
10m,skew15,range,all,6,0.5,1.1749103055712595,1.9233962345407292,2.4770775009723187,1112.9024999999997,594.3589999999999,1.017554367396236,1.1101
10m,skew15,range,all_no_brin,6,0.3333333333333333,1.060856006460635,1.2236917538091652,1.2391080252368334,330.67550000000006,181.96849999999995,1.0204530083237067,1.2578
10m,skew15,ts_range,all,6,0.16666666666666666,0.9708203728426387,1.303909619696889,1.6256024079215146,185.4875,274.3595,1.0165061670724622,1.0269049086054631
10m,skew15,ts_range,all_no_brin,6,0.3333333333333333,0.9936509685800213,1.4331158732464653,1.4554940804520382,596.164,325.02600000000007,1.0080753338092814,1.0787486515641855
1m,baseline,range,all,5,1.0,3.0248949240219853,8.966223946978783,12.022646281181744,165.28300000000002,47.943000000000005,1.0087823593473677,1.0217673619435788
1m,baseline,range,all_no_brin,5,0.0,1.012530175882285,1.1343222026602906,1.1837210270067828,1.862,2.2074999999999996,1.0096599536482058,1.0952145051025464
