dataset,family,qid,selectivity,true_rows,est_rows,q_error,direction,access_path,best_arm,best_access_path,exec_ms_median,best_ms,regret
phys05,ts_range,tsrange_0.01,0.01,30000,31383.0,1.0461,accurate,bitmapscan,btree_ts,bitmapscan,356.683,8.593499999999999,41.50613836038867
phys05,ts_range,tsrange_0.01,0.01,15000,14771.0,1.015503351161059,accurate,bitmapscan,btree_ts,bitmapscan,170.611,4.231,40.32403687071614
phys05,ts_range,tsrange_0.01,0.01,12500,12659.0,1.01272,accurate,bitmapscan,btree_ts,bitmapscan,148.9795,3.8385,38.811905692327734
phys05,ts_range,tsrange_0.01,0.01,20000,20767.0,1.03835,accurate,bitmapscan,btree_ts,bitmapscan,231.56650000000002,6.04,38.33882450331126
phys095,range,range_0.01,0.01,20000,20745.0,1.03725,accurate,bitmapscan,btree_skew,bitmapscan,216.437,8.885,24.359819921215532
phys05,ts_range,tsrange_0.01,0.01,10000,9305.0,1.07469102632993,under,bitmapscan,btree_ts,bitmapscan,64.0735,3.4115,18.78162098783526
dep025,ts_range,tsrange_0.01,0.01,10000,9617.0,1.0398253093480296,accurate,seqscan,btree_ts,bitmapscan,59.47,3.8305,15.525388330505157
phys10,range,range_0.01,0.01,15000,14845.0,1.0104412260020208,accurate,seqscan,btree_skew,bitmapscan,89.8995,5.8004999999999995,15.498577708818207
baseline,ts_range,tsrange_0.01,0.01,10000,10864.0,1.0864,over,seqscan,btree_ts,bitmapscan,59.8345,4.032,14.839905753968253
phys05,range,range_0.01,0.01,15000,14736.0,1.017915309446254,accurate,seqscan,btree_skew,bitmapscan,89.834,6.1739999999999995,14.550372529964369
skew10,range,range_0.01,0.01,10000,10062.0,1.0062,accurate,bitmapscan,btree_skew,bitmapscan,55.2325,3.7984999999999998,14.54060813479005
phys095,range,range_0.01,0.01,15000,15676.0,1.0450666666666666,accurate,seqscan,btree_skew,bitmapscan,86.9235,6.1035,14.241582698451708
phys10,range,range_0.01,0.010093,10093,10402.0,1.030615277915387,accurate,seqscan,btree_skew,bitmapscan,52.2715,3.8385,13.61768920151101
phys05,range,range_0.01,0.01,12500,12308.0,1.0155996100097497,accurate,seqscan,btree_skew,bitmapscan,74.002,5.4415,13.599558945143803
phys10,range,range_0.01,0.01,20000,19537.0,1.023698623125352,accurate,seqscan,btree_skew,bitmapscan,140.09449999999998,10.3275,13.565190026627933
skew15,range,range_0.01,0.01,10000,10618.0,1.0618,over,bitmapscan,btree_skew,bitmapscan,55.415499999999994,4.0885,13.553992906934083
dep05,ts_range,tsrange_0.01,0.01,10000,10579.0,1.0579,over,seqscan,btree_ts,bitmapscan,52.3055,3.8594999999999997,13.552403161031224
phys05,range,range_0.01,0.01,20000,20572.0,1.0286,accurate,seqscan,btree_skew,bitmapscan,141.4845,10.475999999999999,13.505584192439864
phys095,range,range_0.01,0.010093,10093,10174.0,1.0080253641137422,accurate,seqscan,btree_skew,bitmapscan,52.495000000000005,4.034,13.01313832424393
dep10,ts_range,tsrange_0.01,0.01,10000,10317.0,1.0317,accurate,seqscan,btree_ts,bitmapscan,51.9955,4.029,12.905311491685282
